postalcode,work_location,employee_count
C0A 2B0,"Eastern Kings Regional Service",6
C0A 2B0,"Education Technology Centre",1
C0A 2B0,"Elmer Blanchard Building",1
C0A 2B0,"Elmira Railway Station",2
C0A 2B0,"Forestry Dept- Southhampton-St",7
C0A 2B0,"Frank Gaudet Nursery",1
C0A 2B0,"Georgetown Government Garage",37
C0A 2B0,"Holman Building (Ch'town)",1
C0A 2B0,"Johnny Ross Young RSC",5
C0A 2B0,"Provincial Admin Building",9
C0A 2B0,"Provincial Correctional Centre",2
C0A 2B0,"Red Point Park",16
C0A 2B0,"Red Road Homes",3
C0A 2B0,"SirLouisHenryDaviesLawCourt",1
C0A 2B0,"Souris",1
C0A 2B0,"Souris Library",2
C0A 2B0,"Souris Liquor Store",11
C0A 2B0,"Souris Visitor Information Cen",2
C0A 2B0,"Southern Kings & Queens RSC",4
C0A 2E0,"Atlantic Technology Centre",1
C0A 2E0,"Beaconsfield Historic House",1
C0A 2E0,"Bridgetown Goverment Garage",1
C0A 2E0,"Cardigan Liquor Store",1
C0A 2E0,"Charlottetown",1
C0A 2E0,"Ch'Town Government Garage",8
C0A 2E0,"Coles Building",1
C0A 2E0,"Customs House",2
C0A 2E0,"Eastern Kings Regional Service",1
C0A 2E0,"Georgetown Government Garage",1
C0A 2E0,"J. Angus MacLean Bldg",1
C0A 2E0,"Montague Cannabis Store",1
C0A 2E0,"Montague Library",1
C0A 2E0,"Orwell Corner Museum",4
C0A 2E0,"PEI Medicare Office",1
C0A 2E0,"Potato Service Building",3
C0A 2E0,"Provincial Admin Building",15
C0A 2E0,"Provincial Correctional Centre",1
C0A 2E0,"Red Road Homes",2
C0A 2E0,"Research Station",1
C0A 2E0,"Sherwood Business Centre",4
C0A 2E0,"SirLouisHenryDaviesLawCourt",1
C0A 2E0,"Southern Kings & Queens RSC",1
C0A 2E0,"St. Peters Library",1
C0A 2E0,"Stratford Liquor Store",4
C0A 2E0,"Summerside Youth Centre",1
C0A 2E0,"VisitorInfo.Centre WoodIslands",1
C0A 2G0,"Gateway Liquor Store",1
C0A 2G0,"Provincial Admin Building",2
