postalcode,work_location,employee_count,latitude,longitude
C0A 1H4,Provincial Correctional Centre,1,46.2405,-62.8677
C0A 1H4,Queen Elizabeth Hospital,1,46.2405,-62.8677
C0A 1H4,Sherwood Business Centre,3,46.2405,-62.8677
C0A 1H4,Stratford Liquor Store,1,46.2405,-62.8677
C0A 1H4,West Royalty Liquor Store,1,46.2405,-62.8677
C0A 1H5,40B Burns Ave.,1,46.2405,-62.8677
C0A 1H5,51-53 Water Street,1,46.2405,-62.8677
C0A 1H5,Atlantic Technology Centre,1,46.2405,-62.8677
C0A 1H5,Aubin Arsenault Bldg,1,46.2405,-62.8677
C0A 1H5,CARREFOUR DE L'ISLE-SAINT-JEAN,1,46.2405,-62.8677
C0A 1H5,Ch'Town Government Garage,2,46.2405,-62.8677
C0A 1H5,Cornwall Liquor Store,2,46.2405,-62.8677
C0A 1H5,Highway Safety Charlottetown,1,46.2405,-62.8677
C0A 1H5,Holman Centre (Summerside),2,46.2405,-62.8677
C0A 1H5,Liquor Control Commission,1,46.2405,-62.8677
C0A 1H5,PEI Analytical Labs,1,46.2405,-62.8677
C0A 1H5,Provincial Admin Building,12,46.2405,-62.8677
C0A 1H5,Provincial Correctional Centre,1,46.2405,-62.8677
C0A 1H5,Red Road Homes,1,46.2405,-62.8677
C0A 1H5,SirLouisHenryDaviesLawCourt,2,46.2405,-62.8677
C0A 1H5,St. Peters Library,1,46.2405,-62.8677
C0A 1H6,Aubin Arsenault Bldg,1,46.2405,-62.8677
C0A 1H6,Brookvale Ski Resort,1,46.2405,-62.8677
C0A 1H6,Ch'Town Government Garage,2,46.2405,-62.8677
C0A 1H6,Cornwall Liquor Store,1,46.2405,-62.8677
C0A 1H6,Government House,1,46.2405,-62.8677
C0A 1H6,Provincial Admin Building,8,46.2405,-62.8677
C0A 1H6,Sherwood Business Centre,1,46.2405,-62.8677
C0A 1H6,Southern Kings & Queens RSC,1,46.2405,-62.8677
C0A 1H7,40B Burns Ave.,1,46.2405,-62.8677
C0A 1H7,Ch'Town Government Garage,1,46.2405,-62.8677
C0A 1H7,Morell Library,1,46.2405,-62.8677
C0A 1H7,Mt. Stewart Highway Labs,1,46.2405,-62.8677
C0A 1H7,Prince County Hospital,1,46.2405,-62.8677
C0A 1H7,SirLouisHenryDaviesLawCourt,1,46.2405,-62.8677
C0A 1H7,40B Burns Ave.,1,46.2079,-62.8216
C0A 1H7,Ch'Town Government Garage,1,46.2079,-62.8216
C0A 1H7,Morell Library,1,46.2079,-62.8216
C0A 1H7,Mt. Stewart Highway Labs,1,46.2079,-62.8216
C0A 1H7,Prince County Hospital,1,46.2079,-62.8216
C0A 1H7,SirLouisHenryDaviesLawCourt,1,46.2079,-62.8216
C0A 1H8,16 Garfield St.,1,46.2405,-62.8677
C0A 1H8,40B Burns Ave.,1,46.2405,-62.8677
C0A 1H8,"548 Main St., Montague",1,46.2405,-62.8677
C0A 1H8,Access PEI - Summerside,1,46.2405,-62.8677
C0A 1H8,Charlottetown,1,46.2405,-62.8677
C0A 1H8,Ch'Town Government Garage,1,46.2405,-62.8677
C0A 1H8,Cornwall Liquor Store,1,46.2405,-62.8677
C0A 1H8,Education Technology Centre,1,46.2405,-62.8677
C0A 1H8,Holland College Royalty Centre,1,46.2405,-62.8677
C0A 1H8,Holman Centre (Summerside),1,46.2405,-62.8677
C0A 1H8,J. Angus MacLean Bldg,1,46.2405,-62.8677
C0A 1H8,Liquor Control Commission,1,46.2405,-62.8677
C0A 1H8,Provincial Admin Building,13,46.2405,-62.8677
C0A 1H8,Provincial Correctional Centre,3,46.2405,-62.8677
C0A 1H8,Red Road Homes,1,46.2405,-62.8677
C0A 1H8,Summerside Youth Centre,1,46.2405,-62.8677
C0A 1H8,Undefined Location,1,46.2405,-62.8677
C0A 1H9,40B Burns Ave.,1,46.2405,-62.8677
C0A 1H9,Ch'Town Government Garage,1,46.2405,-62.8677
C0A 1H9,Cornwall Liquor Store,1,46.2405,-62.8677
C0A 1H9,Customs House,1,46.2405,-62.8677
C0A 1H9,Provincial Admin Building,3,46.2405,-62.8677
C0A 1H9,Sherwood Business Centre,1,46.2405,-62.8677
C0A 1J0,185 Beach Grove Road,1,46.24,-63.5004
C0A 1J0,Access PEI - Summerside,1,46.24,-63.5004
C0A 1J0,Brookvale Ski Resort,1,46.24,-63.5004
C0A 1J0,Charlottetown,1,46.24,-63.5004
C0A 1J0,Child & Family  Services,1,46.24,-63.5004
C0A 1J0,Ch'Town Government Garage,2,46.24,-63.5004
C0A 1J0,Coles Building,2,46.24,-63.5004
C0A 1J0,Crapaud Library,1,46.24,-63.5004
C0A 1J0,Elmer Blanchard Building,1,46.24,-63.5004
C0A 1J0,Frank Gaudet Nursery,1,46.24,-63.5004
C0A 1J0,Georgetown Government Garage,1,46.24,-63.5004
C0A 1J0,Hunter River Memorial Library,1,46.24,-63.5004
C0A 1J0,Provincial Admin Building,11,46.24,-63.5004
C0A 1J0,Sherwood Business Centre,2,46.24,-63.5004
C0A 1J0,Summerside Government Garage,2,46.24,-63.5004
C0A 1J0,185 Beach Grove Road,1,46.2079,-62.8216
C0A 1J0,Access PEI - Summerside,1,46.2079,-62.8216
C0A 1J0,Brookvale Ski Resort,1,46.2079,-62.8216
C0A 1J0,Charlottetown,1,46.2079,-62.8216
C0A 1J0,Child & Family  Services,1,46.2079,-62.8216
C0A 1J0,Ch'Town Government Garage,2,46.2079,-62.8216
C0A 1J0,Coles Building,2,46.2079,-62.8216
C0A 1J0,Crapaud Library,1,46.2079,-62.8216
C0A 1J0,Elmer Blanchard Building,1,46.2079,-62.8216
C0A 1J0,Frank Gaudet Nursery,1,46.2079,-62.8216
C0A 1J0,Georgetown Government Garage,1,46.2079,-62.8216
C0A 1J0,Hunter River Memorial Library,1,46.2079,-62.8216
C0A 1J0,Provincial Admin Building,11,46.2079,-62.8216
C0A 1J0,Sherwood Business Centre,2,46.2079,-62.8216
C0A 1J0,Summerside Government Garage,2,46.2079,-62.8216
C0A 1K0,Basin Head Park,1,46.4406,-62.0647
C0A 1K0,Bridgetown Goverment Garage,1,46.4406,-62.0647
C0A 1K0,Provincial Admin Building,2,46.4406,-62.0647
C0A 1K0,Souris Liquor Store,1,46.4406,-62.0647
C0A 1L0,"548 Main St., Montague",1,46.2009,-62.533
C0A 1L0,Atlantic Technology Centre,1,46.2009,-62.533
C0A 1L0,Bridgetown Goverment Garage,1,46.2009,-62.533
C0A 1L0,Brudenell Admin Office,10,46.2009,-62.533
C0A 1L0,Brudenell Golf,5,46.2009,-62.533
C0A 1L0,Ch'Town Government Garage,1,46.2009,-62.533
C0A 1L0,Comm & Corr Services,1,46.2009,-62.533
C0A 1L0,Dundarave,3,46.2009,-62.533
C0A 1L0,Elmer Blanchard Building,1,46.2009,-62.533
C0A 1L0,Georgetown Government Garage,15,46.2009,-62.533
C0A 1L0,Highway Safety Charlottetown,1,46.2009,-62.533
C0A 1L0,Kings County Courthouse,1,46.2009,-62.533
C0A 1L0,Liquor Control Commission,1,46.2009,-62.533
C0A 1L0,Montague,1,46.2009,-62.533
C0A 1L0,Montague Library,1,46.2009,-62.533
C0A 1L0,Montague Liquor Store,1,46.2009,-62.533
C0A 1L0,Provincial Admin Building,4,46.2009,-62.533
C0A 1L0,Provincial Correctional Centre,1,46.2009,-62.533
C0A 1L0,Southern Kings & Queens RSC,1,46.2009,-62.533
C0A 1M0,Access PEI - Summerside,1,46.208,-62.821
